FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-10,75.81,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-11,75.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-12,75.5,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-01,75.62,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-02,75.68,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-03,74.46,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-04,74.48,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-05,74.63,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-06,74.66,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-07,74.99,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-08,77.45,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-09,79.63,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-10,84.7,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-11,87.68,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2008-12,86.34,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-01,87.24,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-02,89.2,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-03,89.64,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-04,87.96,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-05,85.52,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-06,84.38,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-07,84.57,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-08,83.9,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-09,83.22,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-10,82.51,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-11,82.13,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2009-12,83.08,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-01,83.59,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-02,85.1,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-03,85.14,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-04,85.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-05,88.13,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-06,89.47,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-07,88.32,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-08,87.58,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-09,86.74,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-10,84.09,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-11,84.8,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2010-12,85.69,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-01,85.82,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-02,85.03,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-03,84.04,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-04,82.8,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-05,82.64,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-06,82.76,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-07,82.77,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-08,82.55,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-09,84.45,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-10,85,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-11,85.47,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2011-12,86.26,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-01,86.11,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-02,84.91,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-03,85.29,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-04,85.3,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-05,86.65,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-06,88.17,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-07,88.57,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-08,87.96,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-09,86.8,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-10,86.79,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-11,87.41,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2012-12,86.9,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-01,88.19,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-02,87.94,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-03,88.83,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-04,88.77,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-05,89.08,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-06,89,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-07,89.93,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-08,89.37,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-09,88.94,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-10,87.92,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-11,88.68,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2013-12,88.61,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-01,89.41,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-02,89.12,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-03,88.72,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-04,88.66,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-05,88.4,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-06,88.64,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-07,88.81,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-08,89.35,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-09,90.4,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-10,91.32,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-11,92.9,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2014-12,94.11,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-01,96.07,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-02,96.49,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-03,97.89,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-04,97.35,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-05,96.62,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-06,96.95,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-07,97.94,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-08,98.66,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-09,98.99,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-10,98.5,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-11,100.27,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2015-12,100.44,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-01,104.17,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-02,102.93,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-03,101.75,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-04,100.31,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-05,100.67,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-06,100.58,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-07,101.35,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-08,100.18,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-09,100.07,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2016-10,100.97,A,F,
